,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,476.4,432.4,855.4,819.0,818.2,475.8,980.4,742.4,646.2,592.8
1,554.4,490.4,1102.4,1017.4,968.8,552.8,1206.8,891.2,729.4,674.2
2,383.6,360.0,666.4,600.0,714.8,361.0,782.6,528.8,519.0,461.8
3,447.6,355.0,837.0,726.4,789.0,475.2,865.4,644.8,594.2,555.2
4,599.0,442.4,1045.4,1000.6,971.6,576.6,1119.0,903.4,753.8,737.4
5,356.6,312.2,658.4,563.0,644.2,330.0,732.2,487.6,510.6,424.6
6,481.4,407.8,840.4,775.2,891.6,474.6,966.6,662.6,644.6,568.4
7,704.6,588.2,1369.0,1152.2,1216.8,694.6,1422.6,1107.6,981.6,825.6
8,326.8,253.6,530.2,498.2,725.8,321.4,650.0,452.8,452.8,364.0
9,684.0,463.8,1515.4,1396.6,1410.0,736.6,1517.6,1194.8,987.2,993.0
