,CN,CE,VVAA,VEAA,EVAA,EEAA,JC,RWR-0.15,WK2,WK3
0,166.0,377.0,329.6,364.0,425.4,243.0,649.2,320.4,296.0,251.0
1,224.4,497.2,421.4,458.6,648.4,409.6,875.2,553.6,487.2,504.8
2,125.6,498.8,380.4,339.0,530.0,266.6,722.0,352.4,460.4,273.2
3,103.4,317.6,245.2,248.4,466.4,186.0,545.0,271.0,241.8,201.0
4,107.6,304.6,279.8,272.4,489.8,185.0,543.4,280.0,241.6,257.0
5,152.2,355.6,347.4,300.4,393.8,200.2,628.6,321.6,299.2,322.8
6,109.6,290.0,251.6,250.0,337.8,193.4,433.8,215.0,239.4,235.2
7,107.8,321.8,196.4,185.6,336.0,144.6,404.4,193.0,216.6,228.2
8,105.2,276.8,191.6,161.8,281.2,163.4,417.4,186.0,206.2,166.8
9,147.2,408.4,289.6,295.6,450.6,182.4,654.2,323.0,295.8,268.4
